Column1;player;nationality;position;squad;age;birth_year; value ;height;position2;foot;league;games;games_starts;minutes;goals;assists;pens_made;pens_att;cards_yellow;cards_red;goals_per90;assists_per90;goals_assists_per90;goals_pens_per90;goals_assists_pens_per90;xg;npxg;xa;xg_per90;xa_per90;xg_xa_per90;npxg_per90;npxg_xa_per90;minutes_90s;shots_total;shots_on_target;shots_free_kicks;shots_on_target_pct;shots_total_per90;shots_on_target_per90;goals_per_shot;goals_per_shot_on_target;npxg_per_shot;xg_net;npxg_net;passes_completed;passes;passes_pct;passes_total_distance;passes_progressive_distance;passes_completed_short;passes_short;passes_pct_short;passes_completed_medium;passes_medium;passes_pct_medium;passes_completed_long;passes_long;passes_pct_long;xa_net;assisted_shots;passes_into_final_third;passes_into_penalty_area;crosses_into_penalty_area;progressive_passes;passes_live;passes_dead;passes_free_kicks;through_balls;passes_pressure;passes_switches;crosses;corner_kicks;corner_kicks_in;corner_kicks_out;corner_kicks_straight;passes_ground;passes_low;passes_high;passes_left_foot;passes_right_foot;passes_head;throw_ins;passes_other_body;passes_offsides;passes_oob;passes_intercepted;passes_blocked;sca;sca_per90;sca_passes_live;sca_passes_dead;sca_dribbles;sca_shots;sca_fouled;gca;gca_per90;gca_passes_live;gca_passes_dead;gca_dribbles;gca_shots;gca_fouled;gca_og_for;tackles;tackles_won;tackles_def_3rd;tackles_mid_3rd;tackles_att_3rd;dribble_tackles;dribbles_vs;dribble_tackles_pct;dribbled_past;pressures;pressure_regains;pressure_regain_pct;pressures_def_3rd;pressures_mid_3rd;pressures_att_3rd;blocks;blocked_shots;blocked_shots_saves;blocked_passes;interceptions;clearances;errors;touches;touches_def_pen_area;touches_def_3rd;touches_mid_3rd;touches_att_3rd;touches_att_pen_area;touches_live_ball;dribbles_completed;dribbles;dribbles_completed_pct;players_dribbled_past;nutmegs;carries;carry_distance;carry_progressive_distance;pass_targets;passes_received;passes_received_pct;miscontrols;dispossessed;cards_yellow_red;fouls;fouled;offsides;pens_won;pens_conceded;own_goals;ball_recoveries;aerials_won;aerials_lost;aerials_won_pct
0;Patrick van Aanholt;nl NED;DF;Crystal Palace;28;1990; 9 000 000.00 € ;176.00;Defender - Left-Back;left;Premier League;29.00;29.00;2507.00;3.00;2.00;1.00;1.00;0.00;0.00;0.11;0.07;0.18;0.07;0.14;2.40;1.60;3.20;0.08;0.11;0.20;0.06;0.17;27.90;26.00;5.00;3.00;19.20;0.93;0.18;0.08;0.40;0.06;0.60;0.40;1227.00;1558.00;78.80;21251.00;9280.00;578.00;647.00;89.30;521.00;634.00;82.20;112.00;221.00;50.70;-1.20;32.00;86.00;25.00;5.00;129.00;1175.00;383.00;62.00;0.00;222.00;35.00;44.00;45.00;23.00;15.00;3.00;930.00;322.00;306.00;997.00;256.00;21.00;275.00;3.00;8.00;14.00;36.00;47.00;62.00;2.23;32.00;23.00;3.00;2.00;2.00;5.00;0.18;3.00;1.00;1.00;0.00;0.00;0.00;51.00;32.00;33.00;16.00;2.00;22.00;54.00;40.70;32.00;267.00;74.00;27.70;159.00;71.00;37.00;57.00;13.00;1.00;44.00;23.00;67.00;3.00;1839.00;97.00;531.00;883.00;531.00;50.00;1458.00;18.00;36.00;50.00;18.00;2.00;1000.00;5651.00;3129.00;1079.00;994.00;92.10;21.00;16.00;0.00;9.00;8.00;2.00;0.00;0.00;1.00;243.00;12.00;17.00;41.40
1;Max Aarons;eng ENG;DF;Norwich City;19;2000; 20 000 000.00 € ;178.00;Defender - Right-Back;right;Premier League;36.00;36.00;3240.00;0.00;1.00;0.00;0.00;7.00;0.00;0.00;0.03;0.03;0.00;0.03;0.50;0.50;3.40;0.01;0.09;0.11;0.01;0.11;36.00;14.00;4.00;0.00;28.60;0.39;0.11;0.00;0.00;0.04;-0.50;-0.50;1316.00;1684.00;78.10;20293.00;6834.00;733.00;820.00;89.40;475.00;596.00;79.70;78.00;174.00;44.80;-2.40;24.00;43.00;32.00;13.00;77.00;1356.00;328.00;27.00;1.00;290.00;10.00;54.00;0.00;0.00;0.00;0.00;1018.00;391.00;275.00;219.00;1102.00;45.00;301.00;2.00;0.00;33.00;22.00;70.00;55.00;1.53;42.00;2.00;3.00;3.00;4.00;3.00;0.08;1.00;1.00;0.00;0.00;1.00;0.00;64.00;36.00;40.00;17.00;7.00;21.00;45.00;46.70;24.00;487.00;132.00;27.10;283.00;142.00;62.00;100.00;30.00;2.00;70.00;20.00;86.00;0.00;2133.00;178.00;804.00;902.00;594.00;52.00;1821.00;49.00;94.00;52.10;55.00;2.00;1321.00;9489.00;5439.00;1399.00;1244.00;88.90;39.00;48.00;0.00;29.00;49.00;3.00;1.00;0.00;0.00;281.00;23.00;42.00;35.40
2;Yunis Abdelhamid;ma MAR;DF;Reims;31;1987; 2 000 000.00 € ;190.00;Defender - Centre-Back;left;Ligue 1;28.00;28.00;2520.00;3.00;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.11;0.11;0.11;1.30;1.30;0.10;0.05;0.00;0.05;0.05;0.05;28.00;19.00;5.00;0.00;26.30;0.68;0.18;0.16;0.60;0.07;1.70;1.70;1328.00;1515.00;87.70;29513.00;9041.00;331.00;355.00;93.20;715.00;777.00;92.00;273.00;360.00;75.80;-0.10;2.00;45.00;3.00;0.00;80.00;1437.00;78.00;75.00;1.00;184.00;49.00;1.00;0.00;0.00;0.00;0.00;1142.00;141.00;232.00;1008.00;411.00;66.00;3.00;3.00;3.00;21.00;25.00;12.00;16.00;0.57;11.00;0.00;0.00;4.00;1.00;1.00;0.04;1.00;0.00;0.00;0.00;0.00;0.00;61.00;37.00;43.00;16.00;2.00;14.00;28.00;50.00;14.00;299.00;111.00;37.10;189.00;97.00;13.00;43.00;19.00;0.00;24.00;24.00;166.00;1.00;1856.00;256.00;1131.00;801.00;61.00;27.00;1782.00;21.00;26.00;80.80;21.00;0.00;1201.00;7673.00;4306.00;1266.00;1236.00;97.60;12.00;8.00;0.00;21.00;20.00;0.00;0.00;1.00;0.00;226.00;86.00;42.00;67.20
3;Suleiman Abdullahi;ng NGA;FW,MF;Union Berlin;22;1996; 1 000 000.00 € ;185.00;Forward - Centre-Forward;right;Bundesliga;6.00;1.00;157.00;1.00;0.00;0.00;0.00;1.00;0.00;0.57;0.00;0.57;0.57;0.57;1.30;1.30;0.20;0.72;0.10;0.82;0.72;0.82;1.70;6.00;3.00;0.00;50.00;3.44;1.72;0.17;0.33;0.21;-0.30;-0.30;18.00;40.00;45.00;316.00;132.00;12.00;20.00;60.00;4.00;12.00;33.30;2.00;3.00;66.70;-0.20;1.00;2.00;2.00;1.00;3.00;40.00;0.00;0.00;0.00;8.00;2.00;7.00;0.00;0.00;0.00;0.00;21.00;9.00;10.00;8.00;23.00;5.00;0.00;0.00;0.00;1.00;1.00;6.00;2.00;1.15;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;1.00;3.00;33.30;2.00;25.00;9.00;36.00;9.00;11.00;5.00;3.00;1.00;0.00;2.00;1.00;2.00;0.00;62.00;1.00;9.00;22.00;33.00;10.00;62.00;2.00;4.00;50.00;3.00;1.00;37.00;279.00;177.00;77.00;39.00;50.60;6.00;2.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;15.00;6.00;11.00;35.30
4;Mehdi Abeid;dz ALG;MF;Nantes;26;1992; 2 000 000.00 € ;178.00;Midfielder - Central Midfield;right;Ligue 1;25.00;20.00;1817.00;1.00;2.00;0.00;0.00;5.00;0.00;0.05;0.10;0.15;0.05;0.15;1.60;1.60;1.40;0.08;0.07;0.15;0.08;0.15;20.20;33.00;7.00;3.00;21.20;1.63;0.35;0.03;0.14;0.05;-0.60;-0.60;801.00;957.00;83.70;14638.00;3850.00;365.00;395.00;92.40;337.00;369.00;91.30;93.00;172.00;54.10;0.60;26.00;85.00;6.00;4.00;59.00;864.00;93.00;42.00;1.00;157.00;50.00;18.00;47.00;16.00;16.00;7.00;684.00;113.00;160.00;104.00;788.00;42.00;4.00;8.00;3.00;23.00;11.00;12.00;46.00;2.28;27.00;14.00;1.00;2.00;1.00;4.00;0.20;2.00;1.00;0.00;1.00;0.00;0.00;60.00;41.00;24.00;34.00;2.00;24.00;62.00;38.70;38.00;417.00;114.00;27.30;121.00;233.00;63.00;18.00;3.00;0.00;15.00;17.00;22.00;0.00;1176.00;22.00;211.00;754.00;283.00;20.00;1091.00;12.00;22.00;54.50;12.00;0.00;782.00;4298.00;2116.00;854.00;759.00;88.90;14.00;26.00;0.00;55.00;43.00;1.00;0.00;1.00;0.00;194.00;14.00;19.00;42.40
5;Charles Abi;fr FRA;FW;Saint-Ă‰tienne;19;2000; 1 000 000.00 € ;187.00;Forward - Centre-Forward;left;Ligue 1;15.00;6.00;623.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.20;1.10;0.03;0.16;0.19;0.03;0.19;6.90;5.00;0.00;0.00;0.00;0.72;0.00;0.00;0.00;0.04;-0.20;-0.20;74.00;132.00;56.10;1085.00;199.00;38.00;66.00;57.60;23.00;37.00;62.20;4.00;8.00;50.00;-1.10;5.00;5.00;2.00;0.00;8.00;120.00;12.00;0.00;1.00;53.00;1.00;4.00;0.00;0.00;0.00;0.00;69.00;38.00;25.00;78.00;16.00;11.00;0.00;5.00;1.00;3.00;3.00;9.00;12.00;1.73;8.00;0.00;0.00;0.00;4.00;1.00;0.14;0.00;0.00;0.00;0.00;1.00;0.00;10.00;8.00;3.00;5.00;2.00;3.00;11.00;27.30;8.00;181.00;53.00;29.30;5.00;86.00;90.00;1.00;0.00;0.00;1.00;4.00;5.00;0.00;208.00;7.00;18.00;108.00;95.00;23.00;196.00;16.00;21.00;76.20;16.00;0.00;136.00;938.00;492.00;309.00;142.00;46.00;25.00;12.00;0.00;16.00;10.00;7.00;1.00;0.00;0.00;25.00;27.00;39.00;40.90
6;David Abraham;ar ARG;DF;Eint Frankfurt;33;1986; 1 000 000.00 € ;188.00;Defender - Centre-Back;right;Bundesliga;20.00;19.00;1688.00;2.00;0.00;0.00;0.00;2.00;1.00;0.11;0.00;0.11;0.11;0.11;1.40;1.40;0.10;0.07;0.00;0.08;0.07;0.08;18.80;7.00;4.00;0.00;57.10;0.37;0.21;0.29;0.50;0.20;0.60;0.60;742.00;896.00;82.80;16639.00;6079.00;199.00;231.00;86.10;388.00;438.00;88.60;149.00;211.00;70.60;-0.10;2.00;75.00;7.00;0.00;100.00;843.00;53.00;23.00;0.00;136.00;33.00;5.00;0.00;0.00;0.00;0.00;580.00;134.00;182.00;111.00;673.00;48.00;30.00;6.00;1.00;20.00;16.00;8.00;11.00;0.59;10.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.00;22.00;18.00;10.00;2.00;16.00;34.00;47.10;18.00;200.00;75.00;37.50;109.00;78.00;13.00;32.00;15.00;1.00;17.00;16.00;87.00;1.00;1073.00;108.00;482.00;588.00;87.00;11.00;1022.00;9.00;11.00;81.80;11.00;1.00;662.00;4121.00;2352.00;639.00;619.00;96.90;6.00;2.00;0.00;14.00;12.00;0.00;0.00;0.00;0.00;224.00;51.00;32.00;61.40
7;Tammy Abraham;eng ENG;FW;Chelsea;21;1997; 40 000 000.00 € ;191.00;Forward - Centre-Forward;right;Premier League;34.00;25.00;2215.00;15.00;3.00;0.00;0.00;2.00;0.00;0.61;0.12;0.73;0.61;0.73;14.10;14.10;2.50;0.57;0.10;0.67;0.57;0.67;24.60;88.00;35.00;0.00;39.80;3.58;1.42;0.17;0.43;0.16;0.90;0.90;288.00;412.00;69.90;4213.00;811.00;159.00;222.00;71.60;77.00;101.00;76.20;26.00;35.00;74.30;0.50;18.00;16.00;5.00;0.00;31.00;360.00;52.00;0.00;0.00;149.00;5.00;10.00;0.00;0.00;0.00;0.00;259.00;81.00;72.00;31.00;306.00;17.00;0.00;17.00;1.00;6.00;8.00;26.00;50.00;2.03;33.00;0.00;6.00;6.00;2.00;10.00;0.41;4.00;0.00;3.00;2.00;1.00;0.00;14.00;10.00;4.00;5.00;5.00;4.00;16.00;25.00;12.00;430.00;130.00;30.20;19.00;170.00;241.00;23.00;5.00;0.00;18.00;5.00;26.00;0.00;739.00;31.00;59.00;354.00;352.00;165.00;688.00;21.00;36.00;58.30;22.00;0.00;427.00;2317.00;1164.00;1076.00;495.00;46.00;71.00;47.00;0.00;17.00;24.00;23.00;1.00;0.00;1.00;95.00;67.00;110.00;37.90
8;Amir Abrashi;al ALB;MF;Freiburg;29;1990; 1 000 000.00 € ;172.00;Midfielder - Defensive Midfield;right;Bundesliga;13.00;8.00;663.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.40;0.10;0.05;0.02;0.07;0.05;0.07;7.40;5.00;2.00;0.00;40.00;0.68;0.27;0.00;0.00;0.07;-0.40;-0.40;298.00;342.00;87.10;4705.00;1028.00;148.00;165.00;89.70;123.00;130.00;94.60;16.00;25.00;64.00;-0.10;4.00;19.00;5.00;3.00;21.00;324.00;18.00;12.00;0.00;61.00;1.00;5.00;0.00;0.00;0.00;0.00;262.00;45.00;35.00;25.00;298.00;9.00;1.00;2.00;0.00;4.00;5.00;11.00;10.00;1.36;8.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.00;13.00;11.00;11.00;1.00;7.00;17.00;41.20;10.00;164.00;41.00;25.00;68.00;82.00;14.00;19.00;3.00;0.00;16.00;8.00;15.00;1.00;438.00;21.00;141.00;256.00;64.00;3.00;423.00;7.00;10.00;70.00;7.00;0.00;291.00;1484.00;572.00;288.00;261.00;90.60;8.00;8.00;0.00;17.00;12.00;0.00;0.00;0.00;0.00;84.00;12.00;9.00;57.10
9;Francesco Acerbi;it ITA;DF;Lazio;31;1988; 12 000 000.00 € ;192.00;Defender - Centre-Back;left;Serie A;36.00;36.00;3162.00;2.00;2.00;0.00;0.00;4.00;0.00;0.06;0.06;0.11;0.06;0.11;2.00;2.00;1.60;0.06;0.05;0.10;0.06;0.10;35.10;17.00;7.00;0.00;41.20;0.48;0.20;0.12;0.29;0.12;0.00;0.00;1809.00;2011.00;90.00;41350.00;12495.00;519.00;558.00;93.00;884.00;937.00;94.30;390.00;481.00;81.10;0.40;7.00;138.00;14.00;3.00;119.00;1926.00;85.00;64.00;3.00;215.00;102.00;24.00;1.00;0.00;0.00;0.00;1428.00;229.00;354.00;1543.00;324.00;76.00;20.00;5.00;1.00;27.00;8.00;20.00;27.00;0.77;24.00;0.00;1.00;1.00;1.00;3.00;0.09;3.00;0.00;0.00;0.00;0.00;0.00;52.00;33.00;36.00;10.00;6.00;13.00;26.00;50.00;13.00;320.00;115.00;35.90;213.00;81.00;26.00;61.00;30.00;0.00;31.00;28.00;165.00;2.00;2365.00;370.00;1206.00;1158.00;202.00;34.00;2287.00;15.00;17.00;88.20;15.00;0.00;1559.00;11551.00;6232.00;1641.00;1600.00;97.50;8.00;7.00;0.00;25.00;41.00;5.00;1.00;0.00;0.00;357.00;72.00;35.00;67.30
