name,age,height,citizenship,position,foot,current club,current league
Keylor Navas,34,"1,85 m",Costa Rica  Spain,Goalkeeper,right,Paris Saint-Germain,Ligue 1
Sergio Rico,27,"1,95 m",Spain,Goalkeeper,right,Paris Saint-Germain,Ligue 1
Alexandre Letellier,30,"1,93 m",France,Goalkeeper,right,Paris Saint-Germain,Ligue 1
Denis Franchi,18,,Italy,Goalkeeper,right,Paris Saint-Germain U19,Ligue 1
Yanis Saidani,19,"1,84 m",Algeria  France,Goalkeeper,left,Paris Saint-Germain,Ligue 1
Mathyas Randriamamy,17,"1,86 m",Madagascar  France,Goalkeeper,right,Paris Saint-Germain U19,Ligue 1
Marquinhos,26,"1,83 m",Brazil  Portugal,Defender - Centre-Back,right,Paris Saint-Germain,Ligue 1
Presnel Kimpembe,25,"1,89 m",France  DR Congo,Defender - Centre-Back,left,Paris Saint-Germain,Ligue 1
Thilo Kehrer,24,"1,86 m",Germany  Burundi,Defender - Centre-Back,right,Paris Saint-Germain,Ligue 1
Abdou Diallo,24,"1,87 m",France  Senegal,Defender - Centre-Back,left,Paris Saint-Germain,Ligue 1
Timothée Pembélé,18,"1,82 m",France  DR Congo,Defender - Centre-Back,right,Paris Saint-Germain,Ligue 1
Juan Bernat,27,"1,70 m",Spain,Defender - Left-Back,left,Paris Saint-Germain,Ligue 1
Layvin Kurzawa,28,"1,82 m",France  Poland,Defender - Left-Back,left,Paris Saint-Germain,Ligue 1
Mitchel Bakker,20,"1,85 m",Netherlands,Defender - Left-Back,left,Paris Saint-Germain,Ligue 1
Alessandro Florenzi,29,"1,73 m",Italy,Defender - Right-Back,right,Paris Saint-Germain,Ligue 1
Colin Dagba,22,"1,70 m",France  Benin,Defender - Right-Back,right,Paris Saint-Germain,Ligue 1
Danilo Pereira,29,"1,88 m",Portugal  Guinea-Bissau,midfield - Defensive Midfield,right,Paris Saint-Germain,Ligue 1
Leandro Paredes,26,"1,80 m",Argentina,midfield - Defensive Midfield,right,Paris Saint-Germain,Ligue 1
Idrissa Gueye,31,"1,74 m",Senegal,midfield - Defensive Midfield,right,Paris Saint-Germain,Ligue 1
Maxen Kapo,19,"1,92 m",France,midfield - Defensive Midfield,right,Paris Saint-Germain,Ligue 1
Marco Verratti,28,"1,65 m",Italy,midfield - Central Midfield,right,Paris Saint-Germain,Ligue 1
Rafinha,27,"1,74 m",Brazil  Spain,midfield - Central Midfield,left,Paris Saint-Germain,Ligue 1
Ander Herrera,31,"1,82 m",Spain,midfield - Central Midfield,right,Paris Saint-Germain,Ligue 1
Kays Ruiz-Atil,18,"1,73 m",France  Morocco,midfield - Central Midfield,right,Paris Saint-Germain,Ligue 1
Julian Draxler,27,"1,87 m",Germany,midfield - Attacking Midfield,right,Paris Saint-Germain,Ligue 1
Bandiougou Fadiga,19,"1,78 m",France  Mali,midfield - Attacking Midfield,,Paris Saint-Germain,Ligue 1
Neymar,28,"1,75 m",Brazil,attack - Left Winger,right,Paris Saint-Germain,Ligue 1
Ángel Di María,32,"1,80 m",Argentina  Italy,attack - Right Winger,left,Paris Saint-Germain,Ligue 1
Pablo Sarabia,28,"1,74 m",Spain,attack - Right Winger,left,Paris Saint-Germain,Ligue 1
Kylian Mbappé,22,"1,78 m",France,attack - Centre-Forward,right,Paris Saint-Germain,Ligue 1
Mauro Icardi,27,"1,81 m",Argentina  Italy,attack - Centre-Forward,right,Paris Saint-Germain,Ligue 1
Moise Kean,20,"1,83 m",Italy  Cote d'Ivoire,attack - Centre-Forward,right,Paris Saint-Germain,Ligue 1
Anthony Lopes,30,"1,84 m",Portugal  France,Goalkeeper,left,Olympique Lyon,Ligue 1
Julian Pollersbeck,26,"1,95 m",Germany,Goalkeeper,right,Olympique Lyon,Ligue 1
Malcolm Barcola,21,"1,95 m",Togo  France,Goalkeeper,right,Olympique Lyon B,Ligue 1
Jason Denayer,25,"1,84 m",Belgium  DR Congo,Defender - Centre-Back,right,Olympique Lyon,Ligue 1
Sinaly Diomandé,19,"1,84 m",Cote d'Ivoire,Defender - Centre-Back,right,Olympique Lyon,Ligue 1
Marcelo,33,"1,91 m",Brazil,Defender - Centre-Back,right,Olympique Lyon,Ligue 1
Cenk Özkacar,20,"1,90 m",Turkey,Defender - Centre-Back,left,Olympique Lyon,Ligue 1
Djamel Eddine Benlamri,31,"1,90 m",Algeria,Defender - Centre-Back,right,Olympique Lyon,Ligue 1
Maxwel Cornet,24,"1,79 m",Cote d'Ivoire  France,Defender - Left-Back,left,Olympique Lyon,Ligue 1
Melvin Bard,20,"1,73 m",France,Defender - Left-Back,left,Olympique Lyon,Ligue 1
Léo Dubois,26,"1,78 m",France,Defender - Right-Back,right,Olympique Lyon,Ligue 1
Mattia De Sciglio,28,"1,83 m",Italy,Defender - Right-Back,right,Olympique Lyon,Ligue 1
Thiago Mendes,28,"1,77 m",Brazil,midfield - Defensive Midfield,right,Olympique Lyon,Ligue 1
Houssem Aouar,22,"1,75 m",France  Algeria,midfield - Central Midfield,right,Olympique Lyon,Ligue 1
Bruno Guimarães,23,"1,82 m",Brazil  Spain,midfield - Central Midfield,right,Olympique Lyon,Ligue 1
Maxence Caqueret,20,"1,74 m",France,midfield - Central Midfield,right,Olympique Lyon,Ligue 1
Jean Lucas,22,"1,81 m",Brazil,midfield - Central Midfield,right,Olympique Lyon,Ligue 1
