name,age,height,citizenship,position,foot,current club,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Manuel Neuer,34,193.0,Germany,Goalkeeper,right,Bayern Munich,38.0,0.0,3383.0,0.0,51.0,0.0,4590.0,0.0,16.0,0.0,1470.0,0.0,Bundesliga
Sven Ulreich,32,192.0,Germany,Goalkeeper,right,Hamburger SV,12.0,0.0,1057.0,0.0,1.0,0.0,90.0,0.0,8.0,0.0,720.0,0.0,Bundesliga
Christian Früchtl,20,193.0,Germany,Goalkeeper,left,1.FC Nuremberg,23.0,0.0,2070.0,0.0,27.0,0.0,2430.0,0.0,0.0,0.0,0.0,0.0,Bundesliga
Ron-Thorben Hoffmann,21,192.0,Germany,Goalkeeper,right,Bayern Munich,17.0,0.0,1530.0,0.0,11.0,0.0,990.0,0.0,11.0,0.0,990.0,0.0,Bundesliga
David Alaba,28,180.0,Austria,Defender - Centre-Back,left,Bayern Munich,43.0,3.0,3631.0,0.0,42.0,2.0,3693.0,0.0,15.0,1.0,1293.0,0.0,Bundesliga
Niklas Süle,25,195.0,Germany,Defender - Centre-Back,right,Bayern Munich,42.0,2.0,3507.0,0.0,16.0,0.0,1151.0,0.0,12.0,0.0,918.0,0.0,Bundesliga
Jérôme Boateng,32,190.0,Germany,Defender - Centre-Back,right,Bayern Munich,28.0,0.0,2419.0,0.0,38.0,0.0,2806.0,0.0,13.0,1.0,1023.0,0.0,Bundesliga
Lars Lukas Mai,20,190.0,Germany,Defender - Centre-Back,right,SV Darmstadt 98,35.0,4.0,3094.0,0.0,26.0,1.0,2253.0,0.0,11.0,0.0,1020.0,0.0,Bundesliga
Chris Richards,20,188.0,United States,Defender - Centre-Back,both,FC Bayern Munich II,29.0,2.0,2449.0,0.0,31.0,4.0,2684.0,0.0,10.0,0.0,569.0,0.0,Bundesliga
Bright Arrey-Mbi,17,187.0,Germany  England,Defender - Centre-Back,left,FC Bayern Munich II,7.0,0.0,630.0,0.0,24.0,3.0,1986.0,0.0,6.0,0.0,426.0,0.0,Bundesliga
Lucas Hernández,24,182.0,France  Spain,Defender - Left-Back,left,Bayern Munich,22.0,1.0,1770.0,0.0,25.0,0.0,1119.0,0.0,14.0,1.0,1075.0,0.0,Bundesliga
Alphonso Davies,20,183.0,Canada  Liberia,Defender - Left-Back,left,Bayern Munich,11.0,1.0,524.0,0.0,46.0,3.0,3676.0,0.0,8.0,0.0,390.0,0.0,Bundesliga
Benjamin Pavard,24,186.0,France,Defender - Right-Back,right,Bayern Munich,31.0,0.0,2786.0,0.0,47.0,4.0,3978.0,0.0,14.0,0.0,1118.0,0.0,Bundesliga
Álvaro Odriozola,24,176.0,Spain,Defender - Right-Back,right,Real Madrid,22.0,1.0,1856.0,0.0,10.0,0.0,613.0,0.0,1.0,0.0,57.0,0.0,Bundesliga
Joshua Kimmich,25,177.0,Germany,Midfielder - Defensive Midfield,right,Bayern Munich,48.0,2.0,4281.0,0.0,51.0,7.0,4354.0,0.0,11.0,3.0,941.0,0.0,Bundesliga
Javi Martínez,32,189.0,Spain,Midfielder - Defensive Midfield,right,Bayern Munich,33.0,4.0,2257.0,0.0,24.0,0.0,1015.0,0.0,16.0,1.0,603.0,0.0,Bundesliga
Paul Will,21,185.0,Germany,Midfielder - Defensive Midfield,left,SG Dynamo Dresden,18.0,1.0,1349.0,0.0,22.0,0.0,1244.0,0.0,11.0,0.0,850.0,0.0,Bundesliga
Thiago,29,174.0,Spain  Brazil,Midfielder - Central Midfield,right,Liverpool FC,42.0,3.0,3426.0,0.0,40.0,3.0,2975.0,0.0,2.0,0.0,134.0,0.0,Bundesliga
Leon Goretzka,25,189.0,Germany,Midfielder - Central Midfield,right,Bayern Munich,42.0,9.0,2720.0,0.0,38.0,8.0,2474.0,0.0,13.0,4.0,987.0,0.0,Bundesliga
Corentin Tolisso,26,181.0,France  Togo,Midfielder - Central Midfield,right,Bayern Munich,4.0,1.0,81.0,0.0,28.0,4.0,1396.0,0.0,11.0,2.0,743.0,0.0,Bundesliga
Renato Sanches,23,176.0,Portugal  Sao Tome and Principe,Midfielder - Central Midfield,right,LOSC Lille,24.0,2.0,782.0,0.0,33.0,4.0,2060.0,0.0,10.0,1.0,704.0,0.0,Bundesliga
Michaël Cuisance,21,181.0,France,Midfielder - Central Midfield,left,Olympique Marseille,14.0,1.0,402.0,0.0,15.0,3.0,672.0,0.0,11.0,0.0,614.0,0.0,Bundesliga
Ryan Johansson,19,186.0,Luxembourg  Sweden,Midfielder - Central Midfield,both,Sevilla Atlético,25.0,1.0,1455.0,0.0,25.0,4.0,1213.0,0.0,7.0,0.0,530.0,0.0,Bundesliga
Philippe Coutinho,28,172.0,Brazil  Portugal,Midfielder - Attacking Midfield,right,FC Barcelona,54.0,11.0,3345.0,0.0,38.0,11.0,2145.0,0.0,10.0,3.0,610.0,0.0,Bundesliga
Sarpreet Singh,21,175.0,New Zealand  India,Midfielder - Attacking Midfield,left,1.FC Nuremberg,28.0,5.0,2211.0,0.0,24.0,7.0,1721.0,0.0,6.0,0.0,177.0,0.0,Bundesliga
Oliver Batista Meier,19,178.0,Germany  Brazil,Midfielder - Attacking Midfield,right,SC Heerenveen,16.0,4.0,1136.0,0.0,35.0,19.0,2389.0,0.0,8.0,1.0,511.0,0.0,Bundesliga
Jamal Musiala,17,180.0,England  Germany,Midfielder - Attacking Midfield,right,Bayern Munich,2.0,0.0,149.0,0.0,29.0,8.0,1656.0,0.0,13.0,3.0,538.0,0.0,Bundesliga
Kingsley Coman,24,180.0,France  Guadeloupe,Forward - Left Winger,right,Bayern Munich,30.0,10.0,1928.0,0.0,38.0,8.0,2434.0,0.0,12.0,5.0,809.0,0.0,Bundesliga
Ivan Perisic,31,187.0,Croatia,Forward - Left Winger,both,Inter Milan,45.0,9.0,3631.0,0.0,35.0,8.0,1756.0,0.0,15.0,2.0,837.0,0.0,Bundesliga
Leon Dajaku,19,180.0,Germany  Kosovo,Forward - Left Winger,right,FC Bayern Munich II,34.0,17.0,2423.0,0.0,33.0,6.0,1935.0,0.0,12.0,3.0,850.0,0.0,Bundesliga
Serge Gnabry,25,176.0,Germany  Cote d'Ivoire,Forward - Right Winger,right,Bayern Munich,42.0,13.0,2541.0,0.0,46.0,23.0,3346.0,0.0,15.0,4.0,1001.0,0.0,Bundesliga
"Woo-yeong Jeong,21,179.0,""Korea, South"",Forward - Right Winger,right,SC Freiburg,33.0,13.0,2529.0,0.0,22.0,3.0,1585.0,0.0,8.0,0.0,282.0,0.0,Bundesliga"
