,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-007,1987,2.0,9,0,0,2,0,7.1,0.45,-1.9,-0.93,9,25,36.0,48,14,37.5,36.0,14,50.0,38.7,18,2,11.1,0,0.00,12.3,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-100,1992,14.0,12,2,0,2,0,14.0,0.32,+2.0,+0.14,55,121,45.5,363,64,26.2,31.5,74,35.1,35.8,84,6,7.1,16,1.14,17.6,Matches
3,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-049,1993,4.0,8,0,1,0,0,6.1,0.30,-1.9,-0.48,20,53,37.7,103,20,40.8,35.1,27,40.7,34.9,35,0,0.0,5,1.25,16.4,Matches
4,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,32-273,1988,2.0,5,0,0,0,0,4.0,0.58,-1.0,-0.48,6,13,46.2,31,5,25.8,32.1,9,55.6,47.4,16,0,0.0,0,0.00,15.2,Matches
5,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,27-318,1993,14.0,21,5,0,1,0,23.8,0.29,+3.8,+0.27,73,178,41.0,264,65,43.6,36.7,95,66.3,47.9,130,19,14.6,8,0.57,13.2,Matches
6,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-099,1994,3.0,6,0,0,0,0,4.8,0.34,-1.2,-0.42,21,40,52.5,79,17,34.2,32.2,27,48.1,40.0,27,4,14.8,0,0.00,14.0,Matches
7,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-196,1989,18.0,18,4,0,1,1,14.3,0.23,-1.7,-0.09,109,231,47.2,507,106,33.1,34.9,127,49.6,42.9,208,22,10.6,8,0.44,12.8,Matches
8,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,23-358,1997,16.0,26,5,0,5,1,24.0,0.27,-1.0,-0.06,116,281,41.3,406,74,49.8,39.7,128,61.7,45.1,171,12,7.0,5,0.31,11.9,Matches
9,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,28-333,1992,15.0,18,2,0,2,0,19.7,0.25,+1.7,+0.11,110,233,47.2,478,80,32.4,33.0,138,56.5,38.0,173,12,6.9,11,0.73,13.3,Matches
