;Players;Values
0;Ederson;50,00 Mio. €  
1;Joe Hart;10,00 Mio. €  
2;Claudio Bravo;3,50 Mio. €  
3;Angus Gunn;2,00 Mio. €  
4;John Stones;50,00 Mio. €  
5;Aymeric Laporte;50,00 Mio. €  
6;Nicolás Otamendi;35,00 Mio. €  
7;Eliaquim Mangala;15,00 Mio. €  
8;Vincent Kompany;10,00 Mio. €  
9;Tosin Adarabioyo;1,00 Mio. €  
10;Benjamin Mendy;40,00 Mio. €  
11;Oleksandr Zinchenko;7,00 Mio. €  
12;Kyle Walker;50,00 Mio. €  
13;Danilo;20,00 Mio. €  
14;Demeaco Duhaney; 
15;Fernandinho;15,00 Mio. €  
16;Ilkay Gündogan;40,00 Mio. €  
17;Fabian Delph;15,00 Mio. €  
18;Phil Foden;7,00 Mio. €  
19;Yaya Touré;2,50 Mio. €  
20;Tom Dele-Bashiru; 
21;Kevin De Bruyne;150,00 Mio. €  
22;David Silva;30,00 Mio. €  
23;Brahim Díaz;5,00 Mio. €  
24;Raheem Sterling;90,00 Mio. €  
25;Leroy Sané;90,00 Mio. €  
26;Jack Harrison;3,50 Mio. €  
27;Bernardo Silva;50,00 Mio. €  
28;Patrick Roberts;7,50 Mio. €  
29;Sergio Agüero;80,00 Mio. €  
30;Gabriel Jesus;80,00 Mio. €  
31;Lukas Nmecha; 
0;Loris Karius;12,00 Mio. €  
1;Simon Mignolet;10,00 Mio. €  
2;Danny Ward;2,50 Mio. €  
3;Ádám Bogdán;1,00 Mio. €  
4;Virgil van Dijk;50,00 Mio. €  
5;Joel Matip;25,00 Mio. €  
6;Joe Gomez;22,00 Mio. €  
7;Dejan Lovren;20,00 Mio. €  
8;Ragnar Klavan;3,50 Mio. €  
9;Conor Masterson; 
10;Andrew Robertson;25,00 Mio. €  
11;Alberto Moreno;10,00 Mio. €  
12;Trent Alexander-Arnold;25,00 Mio. €  
13;Nathaniel Clyne;20,00 Mio. €  
14;Jon Flanagan;2,50 Mio. €  
15;Connor Randall;500 Tsd. €  
16;Emre Can;30,00 Mio. €  
17;Alex Oxlade-Chamberlain;40,00 Mio. €  
18;Georginio Wijnaldum;30,00 Mio. €  
19;Jordan Henderson;25,00 Mio. €  
20;James Milner;15,00 Mio. €  
21;Marko Grujic;5,00 Mio. €  
22;Curtis Jones; 
23;Philippe Coutinho;100,00 Mio. €  
24;Adam Lallana;25,00 Mio. €  
25;Ben Woodburn;5,00 Mio. €  
26;Sadio Mané;70,00 Mio. €  
27;Mohamed Salah;150,00 Mio. €  
28;Lazar Markovic;8,00 Mio. €  
29;Sheyi Ojo;2,50 Mio. €  
30;Roberto Firmino;80,00 Mio. €  
31;Daniel Sturridge;15,00 Mio. €  
32;Divock Origi;10,00 Mio. €  
33;Dominic Solanke;10,00 Mio. €  
34;Danny Ings;8,00 Mio. €  
0;Hugo Lloris;25,00 Mio. €  
1;Michel Vorm;2,50 Mio. €  
2;Paulo Gazzaniga;1,00 Mio. €  
3;Alfie Whiteman; 
4;Toby Alderweireld;40,00 Mio. €  
5;Davinson Sánchez;40,00 Mio. €  
6;Eric Dier;40,00 Mio. €  
7;Jan Vertonghen;32,00 Mio. €  
8;Kevin Wimmer;10,00 Mio. €  
9;Juan Foyth;5,00 Mio. €  
10;Cameron Carter-Vickers;1,00 Mio. €  
11;Danny Rose;30,00 Mio. €  
12;Ben Davies;25,00 Mio. €  
13;Kieran Trippier;20,00 Mio. €  
14;Serge Aurier;20,00 Mio. €  
15;Kyle Walker-Peters;3,00 Mio. €  
16;Victor Wanyama;30,00 Mio. €  
17;Harry Winks;15,00 Mio. €  
18;Luke Amos;100 Tsd. €  
19;Moussa Sissoko;18,00 Mio. €  
20;Mousa Dembélé;18,00 Mio. €  
21;Tashan Oakley-Boothe; 
22;Anthony Georgiou; 
23;Dele Alli;100,00 Mio. €  
24;Christian Eriksen;80,00 Mio. €  
25;Josh Onomah;3,00 Mio. €  
26;Heung-min Son;50,00 Mio. €  
27;Georges-Kevin N'Koudou;7,00 Mio. €  
28;Lucas Moura;28,00 Mio. €  
29;Erik Lamela;20,00 Mio. €  
30;Harry Kane;150,00 Mio. €  
31;Vincent Janssen;9,00 Mio. €  
32;Fernando Llorente;7,00 Mio. €  
33;Kazaiah Sterling; 
0;Thibaut Courtois;60,00 Mio. €  
1;Willy Caballero;1,00 Mio. €  
2;Eduardo;1,00 Mio. €  
3;Matej Delac;750 Tsd. €  
4;Jamal Blackman;250 Tsd. €  
5;Antonio Rüdiger;40,00 Mio. €  
6;Andreas Christensen;40,00 Mio. €  
7;David Luiz;25,00 Mio. €  
8;Kurt Zouma;15,00 Mio. €  
9;Gary Cahill;15,00 Mio. €  
10;Tomas Kalas;5,00 Mio. €  
11;Ethan Ampadu;5,00 Mio. €  
12;Michael Hector;3,00 Mio. €  
13;Fikayo Tomori;1,00 Mio. €  
14;Jake Clarke-Salter;1,00 Mio. €  
15;Marcos Alonso;40,00 Mio. €  
16;Emerson;20,00 Mio. €  
17;César Azpilicueta;40,00 Mio. €  
18;Ola Aina;1,50 Mio. €  
19;Todd Kane;1,25 Mio. €  
20;Wallace Oliveira;1,00 Mio. €  
21;Dujon Sterling; 
22;Tiemoué Bakayoko;40,00 Mio. €  
23;Trevoh Chalobah; 
24;N'Golo Kanté;60,00 Mio. €  
25;Cesc Fàbregas;30,00 Mio. €  
26;Ross Barkley;25,00 Mio. €  
27;Danny Drinkwater;20,00 Mio. €  
28;Ruben Loftus-Cheek;15,00 Mio. €  
29;Marco van Ginkel;12,00 Mio. €  
30;Lewis Baker;5,50 Mio. €  
31;Kyle Scott; 
32;Victor Moses;20,00 Mio. €  
33;Davide Zappacosta;20,00 Mio. €  
34;Charly Musonda Jr.;5,00 Mio. €  
35;Eden Hazard;110,00 Mio. €  
36;Kenedy;10,00 Mio. €  
37;Lucas Piazón;2,50 Mio. €  
38;Jérémie Boga;2,50 Mio. €  
39;Callum Hudson-Odoi; 
40;Willian;32,00 Mio. €  
41;Pedro;25,00 Mio. €  
42;Álvaro Morata;65,00 Mio. €  
43;Michy Batshuayi;40,00 Mio. €  
44;Olivier Giroud;18,00 Mio. €  
45;Tammy Abraham;10,00 Mio. €  
0;David de Gea;70,00 Mio. €  
1;Sergio Romero;5,00 Mio. €  
2;Sam Johnstone;2,50 Mio. €  
3;Joel Pereira;1,00 Mio. €  
4;Eric Bailly;35,00 Mio. €  
5;Victor Lindelöf;25,00 Mio. €  
6;Phil Jones;20,00 Mio. €  
7;Marcos Rojo;18,00 Mio. €  
8;Chris Smalling;18,00 Mio. €  
9;Daley Blind;18,00 Mio. €  
10;Axel Tuanzebe;1,00 Mio. €  
11;Luke Shaw;15,00 Mio. €  
12;Cameron Borthwick-Jackson;3,00 Mio. €  
13;Matteo Darmian;10,00 Mio. €  
14;Antonio Valencia;8,00 Mio. €  
15;Timothy Fosu-Mensah;7,00 Mio. €  
16;Nemanja Matic;40,00 Mio. €  
17;Michael Carrick;1,00 Mio. €  
18;Paul Pogba;90,00 Mio. €  
19;Ander Herrera;30,00 Mio. €  
20;Marouane Fellaini;12,00 Mio. €  
21;Scott McTominay;7,00 Mio. €  
22;Ethan Hamilton; 
23;Ashley Young;7,00 Mio. €  
24;Henrikh Mkhitaryan;35,00 Mio. €  
25;Juan Mata;30,00 Mio. €  
